word1: 25
word10: 1
word1004: 1
word1012: 1
word104: 2
word1049: 1
word1050: 1
word1051: 1
word1053: 1
word106: 1
word1077: 1
word108: 1
word1080: 2
word1081: 1
word1084: 1
word11: 4
word1100: 1
word1105: 1
word1111: 1
word1118: 1
word112: 1
word1135: 1
word115: 2
word1151: 1
word1152: 1
word1159: 1
word116: 1
word1162: 1
word1164: 1
word1179: 1
word118: 2
word1187: 1
word12: 4
word120: 1
word1206: 1
word1207: 1
word121: 3
word1210: 1
word1218: 1
word1226: 1
word1228: 1
word1236: 1
word1255: 1
word1257: 1
word126: 1
word1261: 1
word1263: 1
word1282: 1
word1283: 1
word1284: 1
word1287: 1
word129: 2
word1295: 1
word13: 2
word130: 1
word1309: 1
word131: 1
word1310: 1
word132: 3
word1325: 1
word1328: 1
word1334: 1
word1345: 1
word1352: 1
word1353: 1
word136: 3
word1361: 1
word1362: 1
word137: 1
word1372: 1
word1380: 2
word1389: 1
word139: 1
word1391: 1
word1393: 1
word1394: 2
word14: 8
word140: 2
word1405: 1
word1406: 1
word1411: 1
word1417: 1
word142: 1
word1424: 1
word143: 1
word1438: 1
word144: 1
word1446: 1
word145: 1
word1459: 1
word1469: 1
word1477: 1
word148: 1
word15: 6
word151: 2
word1529: 1
word153: 1
word154: 1
word1542: 1
word1556: 1
word1557: 1
word1565: 1
word1567: 1
word1568: 1
word157: 2
word1580: 1
word1582: 1
word159: 1
word1594: 1
word1596: 1
word1598: 1
word16: 3
word161: 1
word1616: 1
word1621: 1
word163: 1
word1648: 1
word165: 1
word1652: 1
word1656: 1
word1671: 1
word168: 1
word1697: 1
word1699: 1
word17: 2
word170: 1
word1717: 1
word1718: 1
word172: 1
word1721: 1
word1726: 1
word173: 1
word1730: 1
word1734: 1
word1749: 1
word1756: 1
word176: 1
word1770: 1
word1771: 1
word1778: 1
word1784: 1
word1787: 1
word179: 1
word1792: 1
word1793: 1
word1797: 1
word18: 3
word1801: 1
word1810: 1
word1818: 1
word182: 1
word1823: 1
word1827: 1
word183: 1
word1833: 1
word1834: 1
word1837: 1
word1847: 1
word1851: 1
